episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,6.948000000000002,3,2,1,2,5
1,-8.536,0,0,1,2,2
2,-8.282,0,0,1,1,1
3,-20.676000000000002,7,0,1,2,9
4,-8.536,0,0,1,2,2
5,-1.3559999999999999,2,1,1,2,4
6,48.980000000000004,8,7,1,2,10
7,5.176,4,2,1,2,6
8,-3.16,3,1,1,2,5
9,-9.475999999999999,1,0,1,2,3
10,-11.4,2,0,1,2,4
11,-8.306,0,0,1,1,1
12,-9.475999999999999,1,0,1,2,3
13,-9.756,1,0,1,2,3
14,-8.44,0,0,1,2,2
15,15.316000000000004,4,3,1,2,6
16,-9.636,1,0,1,2,3
17,-9.756,1,0,1,2,3
18,-8.511999999999999,0,0,1,2,2
19,-10.288,7,1,1,2,9
20,-1.1879999999999988,2,1,1,2,4
21,-9.475999999999999,1,0,1,2,3
22,0.024000000000000243,1,1,1,2,3
23,-8.274,0,0,1,1,1
24,-9.756,1,0,1,2,3
25,-8.607999999999999,0,0,1,2,2
26,4.260000000000002,5,2,1,2,7
27,-10.696,7,1,1,2,9
28,21.984,6,4,1,2,8
29,-8.306,0,0,1,1,1
30,-8.607999999999999,0,0,1,2,2
31,-8.607999999999999,0,0,1,2,2
32,-6.352,5,1,1,2,7
33,-8.282,0,0,1,1,1
34,15.228000000000002,4,3,1,2,6
35,-9.596,1,0,1,2,3
36,-6.616,5,1,1,2,7
37,-8.511999999999999,0,0,1,2,2
38,-8.607999999999999,0,0,1,2,2
39,-8.511999999999999,0,0,1,2,2
40,-2.943999999999999,3,1,1,2,5
41,-8.536,0,0,1,2,2
42,-2.943999999999999,3,1,1,2,5
43,-8.282,0,0,1,1,1
44,-8.607999999999999,0,0,1,2,2
45,18.856,8,4,1,2,10
46,-8.282,0,0,1,1,1
47,-1.58,2,1,1,2,4
48,5.408000000000001,4,2,1,2,6
49,-6.4559999999999995,5,1,1,2,7
50,-8.44,0,0,1,2,2
51,-1.58,2,1,1,2,4
52,-1.5159999999999996,2,1,1,2,4
53,-9.212,1,0,1,2,3
54,13.191999999999998,5,3,1,2,7
55,3.3080000000000016,5,2,1,2,7
56,-9.475999999999999,1,0,1,2,3
57,2.8920000000000012,5,2,1,2,7
58,-1.58,2,1,1,2,4
59,-2.655999999999999,3,1,1,2,5
60,-8.25,0,0,1,1,1
61,-8.536,0,0,1,2,2
62,-9.636,1,0,1,2,3
63,19.863999999999997,8,4,1,2,10
64,-8.536,0,0,1,2,2
65,20.363999999999997,7,4,1,2,9
66,-9.596,1,0,1,2,3
67,-11.232,2,0,1,2,4
68,-12.924,3,0,1,2,5
69,-8.25,0,0,1,1,1
70,-8.274,0,0,1,1,1
71,-8.25,0,0,1,1,1
72,-8.511999999999999,0,0,1,2,2
73,6.556000000000001,3,2,1,2,5
74,-8.274,0,0,1,1,1
75,-8.511999999999999,0,0,1,2,2
76,-3.852000000000001,4,1,1,2,6
77,2.184000000000001,6,2,1,2,8
78,-8.44,0,0,1,2,2
79,-9.488,7,1,1,2,9
80,-8.607999999999999,0,0,1,2,2
81,-8.511999999999999,0,0,1,2,2
82,9.840000000000002,7,3,1,2,9
83,-1.1879999999999988,2,1,1,2,4
84,-8.161999999999999,0,0,1,1,1
85,-8.282,0,0,1,1,1
86,-11.232,2,0,1,2,4
87,-8.536,0,0,1,2,2
88,-8.536,0,0,1,2,2
89,-11.008,2,0,1,2,4
90,-8.306,0,0,1,1,1
91,21.444,10,4,0,2,12
92,-3.16,3,1,1,2,5
93,33.28,10,5,0,2,12
94,-8.306,0,0,1,1,1
95,-10.288,7,1,1,2,9
96,-8.596,6,1,1,2,8
97,-9.475999999999999,1,0,1,2,3
98,1.7040000000000006,6,2,1,2,8
99,-9.475999999999999,1,0,1,2,3
100,-8.274,0,0,1,1,1
101,13.351999999999999,5,3,1,2,7
102,-8.44,0,0,1,2,2
103,-8.536,0,0,1,2,2
104,-1.58,2,1,1,2,4
105,54.128,10,7,0,2,12
106,11.808,10,3,0,2,12
107,-8.25,0,0,1,1,1
108,-8.282,0,0,1,1,1
109,-6.4559999999999995,5,1,1,2,7
110,-8.282,0,0,1,1,1
111,13.504000000000001,5,3,1,2,7
112,-0.8360000000000003,2,1,1,2,4
113,6.948000000000002,3,2,1,2,5
114,-8.306,0,0,1,1,1
115,13.447999999999999,5,3,1,2,7
116,14.64,10,4,1,2,12
117,20.46,7,4,1,2,9
118,41.776,6,6,1,2,8
119,-9.756,1,0,1,2,3
