algorithm,average_cumulative_reward,acceptance_rate,abandonment_rate,average_questions_asked,average_session_length
q_learning,3.746283333333333,0.35714285714285715,0.85,1.9416666666666667,5.933333333333334
dqn,2.5089333333333355,0.3685800604229607,0.9166666666666666,2.533333333333333,5.291666666666667
ppo,-0.4069333333333332,0.3765541740674956,0.9416666666666667,0.39166666666666666,5.083333333333333
ask_once_then_recommend,-0.9295266666666673,0.37142857142857144,0.92,1.0,4.966666666666667
