algorithm,average_cumulative_reward,acceptance_rate,abandonment_rate,average_questions_asked,average_session_length
ppo,6.470066666666669,0.3795379537953795,0.9416666666666667,0.0,5.05
ask_once_then_recommend,4.377993333333333,0.37142857142857144,0.92,1.0,4.966666666666667
q_learning,3.746283333333333,0.35714285714285715,0.85,1.9416666666666667,5.933333333333334
dqn,0.3869583333333336,0.3127413127413127,0.85,2.4833333333333334,5.283333333333333
