episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-4.852,1,0,1,0,1
1,-11.509999999999998,12,0,0,0,12
2,-5.526,2,0,1,0,2
3,7.63,4,2,1,0,4
4,47.745999999999995,10,8,1,0,10
5,13.498000000000001,6,3,1,0,6
6,-0.5479999999999992,5,1,1,0,5
7,-7.09,4,0,1,0,4
8,7.917999999999998,4,2,1,0,4
9,-4.852,1,0,1,0,1
10,1.1599999999999993,3,1,1,0,3
11,1.016,3,1,1,0,3
12,1.7619999999999996,2,1,1,0,2
13,21.002,6,4,1,0,6
14,1.1599999999999993,3,1,1,0,3
15,1.016,3,1,1,0,3
16,50.754,12,8,0,0,12
17,3.1800000000000024,9,2,1,0,9
18,25.233999999999998,10,5,1,0,10
19,1.1599999999999993,3,1,1,0,3
20,7.63,4,2,1,0,4
21,15.133999999999997,4,3,1,0,4
22,-6.271999999999999,3,0,1,0,3
23,20.795999999999996,7,4,1,0,7
24,5.319999999999999,7,2,1,0,7
25,11.476000000000003,9,3,1,0,9
26,1.1599999999999993,3,1,1,0,3
27,7.171999999999999,5,2,1,0,5
28,8.905999999999999,2,2,1,0,2
29,-5.526,2,0,1,0,2
30,-2.3999999999999995,7,1,1,0,7
31,-4.852,1,0,1,0,1
32,13.497999999999998,6,3,1,0,6
33,8.447999999999999,3,2,1,0,3
34,4.646000000000001,8,2,1,0,8
35,14.603999999999997,5,3,1,0,5
36,-5.526,2,0,1,0,2
37,26.241999999999997,10,5,1,0,10
38,18.09,10,4,1,0,10
39,-5.526,2,0,1,0,2
40,7.171999999999999,5,2,1,0,5
41,-4.852,1,0,1,0,1
42,1.7619999999999996,2,1,1,0,2
43,-6.271999999999999,3,0,1,0,3
44,-4.852,1,0,1,0,1
45,7.63,4,2,1,0,4
46,6.065999999999999,6,2,1,0,6
47,-2.3999999999999995,7,1,1,0,7
48,1.7619999999999996,2,1,1,0,2
49,5.7780000000000005,6,2,1,0,6
50,6.210000000000001,6,2,1,0,6
51,-6.271999999999999,3,0,1,0,3
52,12.463999999999999,7,3,1,0,7
53,20.616,7,4,1,0,7
54,8.447999999999999,3,2,1,0,3
55,4.744000000000002,7,2,1,0,7
56,0.1980000000000004,4,1,1,0,4
57,2.2180000000000026,10,2,1,0,10
58,-4.852,1,0,1,0,1
59,-5.526,2,0,1,0,2
60,-6.271999999999999,3,0,1,0,3
61,20.306,12,4,0,0,12
62,1.7619999999999996,2,1,1,0,2
63,26.376,9,5,1,0,9
64,1.016,3,1,1,0,3
65,-8.942,6,0,1,0,6
66,-0.403999999999999,5,1,1,0,5
67,-4.852,1,0,1,0,1
68,15.061999999999998,4,3,1,0,4
69,8.447999999999999,3,2,1,0,3
70,1.7619999999999996,2,1,1,0,2
71,6.452,5,2,1,0,5
72,39.686,12,7,1,0,12
73,26.952,9,5,1,0,9
74,-1.5099999999999993,6,1,1,0,6
75,12.221999999999998,8,3,1,0,8
76,1.7619999999999996,2,1,1,0,2
77,3.9000000000000012,9,2,1,0,9
78,1.7619999999999996,2,1,1,0,2
79,1.7619999999999996,2,1,1,0,2
80,1.9300000000000024,10,2,1,0,10
81,0.1980000000000004,4,1,1,0,4
82,-4.852,1,0,1,0,1
83,-4.852,1,0,1,0,1
84,-7.9799999999999995,5,0,1,0,5
85,-5.526,2,0,1,0,2
86,-5.526,2,0,1,0,2
87,-7.09,4,0,1,0,4
88,-4.852,1,0,1,0,1
89,18.434000000000005,12,4,0,0,12
90,7.0280000000000005,5,2,1,0,5
91,26.874000000000006,12,5,0,0,12
92,8.905999999999999,2,2,1,0,2
93,11.476000000000003,9,3,1,0,9
94,12.509999999999998,8,3,1,0,8
95,1.1599999999999993,3,1,1,0,3
96,20.23,8,4,1,0,8
97,1.1599999999999993,3,1,1,0,3
98,20.723999999999997,7,4,1,0,7
99,20.086000000000002,8,4,1,0,8
100,-5.526,2,0,1,0,2
101,0.3420000000000005,4,1,1,0,4
102,7.63,4,2,1,0,4
103,51.042,12,8,0,0,12
104,19.874000000000002,12,4,0,0,12
105,-4.852,1,0,1,0,1
106,2.292,1,1,1,0,1
107,-2.3999999999999995,7,1,1,0,7
108,-4.852,1,0,1,0,1
109,10.225999999999999,10,3,1,0,10
110,0.1980000000000004,4,1,1,0,4
111,14.316,5,3,1,0,5
112,-4.852,1,0,1,0,1
113,12.32,7,3,1,0,7
114,23.381999999999998,12,5,1,0,12
115,1.016,3,1,1,0,3
116,48.80599999999999,8,8,1,0,8
117,1.1599999999999993,3,1,1,0,3
118,1.7619999999999996,2,1,1,0,2
119,1.7619999999999996,2,1,1,0,2
