episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,14.316,5,3,1,0,5
1,1.7619999999999996,2,1,1,0,2
2,-4.852,1,0,1,0,1
3,-11.509999999999998,12,0,0,0,12
4,-5.526,2,0,1,0,2
5,7.63,4,2,1,0,4
6,47.745999999999995,10,8,1,0,10
7,13.498000000000001,6,3,1,0,6
8,-0.5479999999999992,5,1,1,0,5
9,-7.09,4,0,1,0,4
10,7.917999999999998,4,2,1,0,4
11,-4.852,1,0,1,0,1
12,1.1599999999999993,3,1,1,0,3
13,1.016,3,1,1,0,3
14,1.7619999999999996,2,1,1,0,2
15,21.002,6,4,1,0,6
16,1.1599999999999993,3,1,1,0,3
17,1.016,3,1,1,0,3
18,50.754,12,8,0,0,12
19,3.1800000000000024,9,2,1,0,9
20,25.233999999999998,10,5,1,0,10
21,1.1599999999999993,3,1,1,0,3
22,7.63,4,2,1,0,4
23,15.133999999999997,4,3,1,0,4
24,-6.271999999999999,3,0,1,0,3
25,20.795999999999996,7,4,1,0,7
26,5.319999999999999,7,2,1,0,7
27,11.476000000000003,9,3,1,0,9
28,1.1599999999999993,3,1,1,0,3
29,7.171999999999999,5,2,1,0,5
30,8.905999999999999,2,2,1,0,2
31,-5.526,2,0,1,0,2
32,-2.3999999999999995,7,1,1,0,7
33,-4.852,1,0,1,0,1
34,13.497999999999998,6,3,1,0,6
35,8.447999999999999,3,2,1,0,3
36,4.646000000000001,8,2,1,0,8
37,14.603999999999997,5,3,1,0,5
38,-5.526,2,0,1,0,2
39,26.241999999999997,10,5,1,0,10
40,18.09,10,4,1,0,10
41,-5.526,2,0,1,0,2
42,7.171999999999999,5,2,1,0,5
43,-4.852,1,0,1,0,1
44,1.7619999999999996,2,1,1,0,2
45,-6.271999999999999,3,0,1,0,3
46,-4.852,1,0,1,0,1
47,7.63,4,2,1,0,4
48,6.065999999999999,6,2,1,0,6
49,-2.3999999999999995,7,1,1,0,7
50,1.7619999999999996,2,1,1,0,2
51,5.7780000000000005,6,2,1,0,6
52,6.210000000000001,6,2,1,0,6
53,-6.271999999999999,3,0,1,0,3
54,12.463999999999999,7,3,1,0,7
55,20.616,7,4,1,0,7
56,8.447999999999999,3,2,1,0,3
57,4.744000000000002,7,2,1,0,7
58,0.1980000000000004,4,1,1,0,4
59,2.2180000000000026,10,2,1,0,10
60,-4.852,1,0,1,0,1
61,-5.526,2,0,1,0,2
62,-6.271999999999999,3,0,1,0,3
63,20.306,12,4,0,0,12
64,1.7619999999999996,2,1,1,0,2
65,26.376,9,5,1,0,9
66,1.016,3,1,1,0,3
67,-8.942,6,0,1,0,6
68,-0.403999999999999,5,1,1,0,5
69,-4.852,1,0,1,0,1
70,15.061999999999998,4,3,1,0,4
71,8.447999999999999,3,2,1,0,3
72,1.7619999999999996,2,1,1,0,2
73,6.452,5,2,1,0,5
74,39.686,12,7,1,0,12
75,26.952,9,5,1,0,9
76,-1.5099999999999993,6,1,1,0,6
77,12.221999999999998,8,3,1,0,8
78,1.7619999999999996,2,1,1,0,2
79,3.9000000000000012,9,2,1,0,9
80,1.7619999999999996,2,1,1,0,2
81,1.7619999999999996,2,1,1,0,2
82,1.9300000000000024,10,2,1,0,10
83,0.1980000000000004,4,1,1,0,4
84,-4.852,1,0,1,0,1
85,-4.852,1,0,1,0,1
86,-7.9799999999999995,5,0,1,0,5
87,-5.526,2,0,1,0,2
88,-5.526,2,0,1,0,2
89,-7.09,4,0,1,0,4
90,-4.852,1,0,1,0,1
91,18.434000000000005,12,4,0,0,12
92,7.0280000000000005,5,2,1,0,5
93,26.874000000000006,12,5,0,0,12
94,8.905999999999999,2,2,1,0,2
95,11.476000000000003,9,3,1,0,9
96,12.509999999999998,8,3,1,0,8
97,1.1599999999999993,3,1,1,0,3
98,20.23,8,4,1,0,8
99,1.1599999999999993,3,1,1,0,3
100,20.723999999999997,7,4,1,0,7
101,20.086000000000002,8,4,1,0,8
102,-5.526,2,0,1,0,2
103,0.3420000000000005,4,1,1,0,4
104,7.63,4,2,1,0,4
105,51.042,12,8,0,0,12
106,19.874000000000002,12,4,0,0,12
107,-4.852,1,0,1,0,1
108,2.292,1,1,1,0,1
109,-2.3999999999999995,7,1,1,0,7
110,-4.852,1,0,1,0,1
111,10.225999999999999,10,3,1,0,10
112,0.1980000000000004,4,1,1,0,4
113,14.316,5,3,1,0,5
114,-4.852,1,0,1,0,1
115,12.32,7,3,1,0,7
116,23.381999999999998,12,5,1,0,12
117,1.016,3,1,1,0,3
118,48.80599999999999,8,8,1,0,8
119,1.1599999999999993,3,1,1,0,3
