episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,14.1,5,3,1,0,5
1,-1.0879999999999992,2,1,1,0,2
2,-9.456,1,0,1,0,1
3,-23.376,9,0,1,0,9
4,-10.908,2,0,1,0,2
5,5.700000000000001,4,2,1,0,4
6,56.324,10,8,1,0,10
7,12.424000000000001,6,3,1,0,6
8,-5.859999999999999,5,1,1,0,5
9,-10.908,2,0,1,0,2
10,6.020000000000003,4,2,1,0,4
11,-9.456,1,0,1,0,1
12,-2.475999999999999,3,1,1,0,3
13,-2.6359999999999992,3,1,1,0,3
14,-1.0879999999999992,2,1,1,0,2
15,22.564,6,4,1,0,6
16,-2.475999999999999,3,1,1,0,3
17,-2.6359999999999992,3,1,1,0,3
18,-1.2479999999999998,2,1,1,0,2
19,-3.1599999999999993,9,2,1,0,9
20,-4.279999999999999,4,1,1,0,4
21,-2.475999999999999,3,1,1,0,3
22,7.024000000000001,3,2,1,0,3
23,0.20400000000000007,1,1,1,0,1
24,-12.456,3,0,1,0,3
25,22.884000000000007,6,4,1,0,6
26,0.8320000000000007,7,2,1,0,7
27,7.780000000000003,9,3,1,0,9
28,-2.475999999999999,3,1,1,0,3
29,4.440000000000001,5,2,1,0,5
30,8.572000000000001,2,2,1,0,2
31,-10.908,2,0,1,0,2
32,-9.468,7,1,1,0,7
33,-9.456,1,0,1,0,1
34,12.424000000000001,6,3,1,0,6
35,7.344000000000003,3,2,1,0,3
36,0.9920000000000009,7,2,1,0,7
37,15.680000000000003,4,3,1,0,4
38,-10.908,2,0,1,0,2
39,28.316000000000003,9,5,1,0,9
40,4.440000000000001,5,2,1,0,5
41,-9.456,1,0,1,0,1
42,4.440000000000001,5,2,1,0,5
43,-9.456,1,0,1,0,1
44,-1.0879999999999992,2,1,1,0,2
45,-12.456,3,0,1,0,3
46,-9.456,1,0,1,0,1
47,5.700000000000001,4,2,1,0,4
48,2.444000000000001,6,2,1,0,6
49,-9.456,1,0,1,0,1
50,-1.0879999999999992,2,1,1,0,2
51,-4.279999999999999,4,1,1,0,4
52,-9.456,1,0,1,0,1
53,-12.456,3,0,1,0,3
54,10.492000000000003,7,3,1,0,7
55,21.272000000000006,7,4,1,0,7
56,7.344000000000003,3,2,1,0,3
57,0.19200000000000017,7,2,1,0,7
58,-4.279999999999999,4,1,1,0,4
59,-10.908,2,0,1,0,2
60,-9.456,1,0,1,0,1
61,-9.456,1,0,1,0,1
62,-12.456,3,0,1,0,3
63,15.219999999999997,10,4,1,0,10
64,-1.0879999999999992,2,1,1,0,2
65,27.900000000000006,9,5,1,0,9
66,-2.6359999999999992,3,1,1,0,3
67,-14.1,4,0,1,0,4
68,-5.699999999999999,5,1,1,0,5
69,-9.456,1,0,1,0,1
70,15.680000000000003,4,3,1,0,4
71,7.344000000000003,3,2,1,0,3
72,-1.0879999999999992,2,1,1,0,2
73,3.6400000000000006,5,2,1,0,5
74,31.284,7,5,1,0,7
75,15.776000000000002,4,3,1,0,4
76,-12.456,3,0,1,0,3
77,9.424000000000001,8,3,1,0,8
78,-1.0879999999999992,2,1,1,0,2
79,-2.3599999999999994,9,2,1,0,9
80,-1.0879999999999992,2,1,1,0,2
81,-1.0879999999999992,2,1,1,0,2
82,-3.4800000000000004,9,2,1,0,9
83,-4.279999999999999,4,1,1,0,4
84,-9.456,1,0,1,0,1
85,-9.456,1,0,1,0,1
86,-12.456,3,0,1,0,3
87,-10.908,2,0,1,0,2
88,-10.908,2,0,1,0,2
89,-14.1,4,0,1,0,4
90,-9.456,1,0,1,0,1
91,-12.456,3,0,1,0,3
92,4.280000000000001,5,2,1,0,5
93,-10.908,2,0,1,0,2
94,8.572000000000001,2,2,1,0,2
95,7.780000000000003,9,3,1,0,9
96,9.744000000000002,8,3,1,0,8
97,-2.475999999999999,3,1,1,0,3
98,20.044000000000004,8,4,1,0,8
99,-2.475999999999999,3,1,1,0,3
100,0.20400000000000007,1,1,1,0,1
101,21.272000000000006,7,4,1,0,7
102,-10.908,2,0,1,0,2
103,-4.119999999999999,4,1,1,0,4
104,5.700000000000001,4,2,1,0,4
105,61.792,12,8,0,0,12
106,19.792,12,4,0,0,12
107,-9.456,1,0,1,0,1
108,0.20400000000000007,1,1,1,0,1
109,-10.908,2,0,1,0,2
110,-9.456,1,0,1,0,1
111,10.492000000000003,7,3,1,0,7
112,-4.279999999999999,4,1,1,0,4
113,14.1,5,3,1,0,5
114,-9.456,1,0,1,0,1
115,-9.456,1,0,1,0,1
116,21.912,12,5,1,0,12
117,-2.6359999999999992,3,1,1,0,3
118,58.971999999999994,8,8,1,0,8
119,-2.475999999999999,3,1,1,0,3
