algorithm,average_cumulative_reward,acceptance_rate,abandonment_rate,average_questions_asked,average_session_length
always_recommend,1.635893333333334,0.38362760834670945,0.9733333333333334,0.0,4.153333333333333
ppo,1.4046333333333336,0.38445807770961143,0.9833333333333333,0.0,4.075
ask_once_then_recommend,-0.6748533333333336,0.37995824634655534,0.9666666666666667,1.0,4.193333333333333
q_learning,-2.5990333333333333,0.346875,0.9583333333333334,1.8666666666666667,4.533333333333333
dqn,-3.3947833333333337,0.3991228070175439,0.9666666666666667,2.4583333333333335,4.358333333333333
random_policy,-3.6801866666666685,0.34935897435897434,0.9533333333333334,2.54,4.62
always_ask,-9.462413333333325,0.0,0.96,4.14,4.14
