episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,3.3560000000000008,2,1,1,3,5
1,-4.374,1,0,1,1,2
2,-3.941,0,0,1,1,1
3,1.5100000000000002,6,1,0,3,12
4,-4.374,1,0,1,1,2
5,-2.981999999999999,1,0,1,3,5
6,29.506000000000007,8,5,1,2,10
7,2.042,5,1,1,1,6
8,0.9420000000000002,4,1,1,1,5
9,1.8109999999999984,6,1,0,3,12
10,1.6180000000000003,3,1,1,1,4
11,-3.968,0,0,1,1,1
12,-5.020999999999999,2,0,1,1,3
13,3.2120000000000006,1,1,1,2,3
14,-4.3020000000000005,1,0,1,1,2
15,-5.181999999999999,3,0,1,3,6
16,-5.129,2,0,1,1,3
17,-4.111999999999999,1,0,1,2,3
18,-3.4359999999999995,0,0,1,2,2
19,10.711000000000002,8,2,0,3,12
20,25.903,6,4,0,3,12
21,18.571,9,3,0,3,12
22,9.122000000000002,4,2,1,2,6
23,-3.1639999999999997,0,0,1,1,1
24,-4.96,2,0,1,1,3
25,6.552000000000001,5,2,1,3,10
26,7.679000000000002,6,2,1,1,7
27,5.600000000000002,8,2,1,1,9
28,23.059,5,4,1,3,8
29,-3.968,0,0,1,1,1
30,2.716,1,1,1,1,2
31,-4.428,1,0,1,1,2
32,1.860000000000002,4,1,1,3,7
33,-4.374,1,0,1,1,2
34,5.788000000000001,3,2,1,3,11
35,7.028000000000002,7,2,1,1,8
36,1.6990000000000016,5,1,0,3,12
37,2.0120000000000005,3,1,1,1,4
38,-4.428,1,0,1,1,2
39,9.3,5,2,1,3,8
40,12.911000000000001,7,3,1,3,12
41,-4.374,1,0,1,1,2
42,24.589000000000006,9,4,0,3,12
43,-3.941,0,0,1,1,1
44,23.102000000000004,6,4,1,2,8
45,17.859000000000005,6,3,0,3,12
46,-3.941,0,0,1,1,1
47,8.906000000000002,3,2,1,1,4
48,1.269000000000001,3,1,1,3,8
49,1.5040000000000004,4,1,1,3,7
50,-4.3020000000000005,1,0,1,1,2
51,7.482,5,2,1,1,6
52,17.952,7,3,0,3,12
53,-0.944,4,1,1,3,11
54,15.652000000000001,4,3,1,3,8
55,1.258000000000001,6,1,1,1,7
56,2.5169999999999995,2,1,1,1,3
57,6.662000000000001,6,2,1,1,7
58,-4.715999999999999,2,0,1,2,4
59,-0.370000000000001,8,1,1,2,10
60,27.337,9,4,0,3,12
61,-4.374,1,0,1,1,2
62,-5.129,2,0,1,1,3
63,18.082000000000004,9,3,0,3,12
64,-4.374,1,0,1,1,2
65,9.788000000000002,3,2,1,3,6
66,-3.9319999999999995,1,0,1,2,3
67,-5.914999999999999,4,0,1,2,6
68,8.149000000000001,4,2,1,3,9
69,11.203,4,2,0,3,12
70,-3.932,0,0,1,1,1
71,-3.9050000000000002,0,0,1,1,1
72,-4.355999999999999,1,0,1,1,2
73,9.420000000000002,3,2,1,2,5
74,-3.932,0,0,1,1,1
75,7.914000000000001,6,2,1,3,10
76,1.793000000000002,3,1,1,3,11
77,9.808,5,2,1,3,9
78,-3.48,1,0,1,1,2
79,8.646,6,2,1,3,9
80,-4.428,1,0,1,1,2
81,-4.355999999999999,1,0,1,1,2
82,15.804000000000004,5,3,1,2,7
83,4.4479999999999995,2,1,1,3,5
84,-3.9050000000000002,0,0,1,1,1
85,-3.941,0,0,1,1,1
86,-4.309999999999999,2,0,1,3,5
87,-4.374,1,0,1,1,2
88,-4.374,1,0,1,1,2
89,-4.542,3,0,1,1,4
90,-3.968,0,0,1,1,1
91,8.915000000000001,6,2,0,3,12
92,31.486,8,5,0,3,12
93,11.255000000000006,6,2,0,3,12
94,-3.968,0,0,1,1,1
95,0.7800000000000002,6,1,1,3,9
96,16.059,5,3,1,3,8
97,-5.020999999999999,2,0,1,1,3
98,15.059999999999999,6,3,1,2,8
99,-3.8499999999999996,2,0,1,1,3
100,-3.932,0,0,1,1,1
101,6.345999999999999,7,2,1,1,8
102,-4.3020000000000005,1,0,1,1,2
103,15.916000000000002,4,3,1,3,9
104,15.832,4,3,1,3,8
105,21.842,7,4,1,3,10
106,0.394000000000001,8,1,0,3,12
107,-3.9050000000000002,0,0,1,1,1
108,-3.941,0,0,1,1,1
109,9.21,4,2,1,3,8
110,2.4090000000000007,2,1,1,1,3
111,14.583000000000006,7,3,1,3,10
112,-7.529,3,0,1,3,10
113,-4.219999999999999,2,0,1,3,5
114,-3.968,0,0,1,1,1
115,1.466000000000002,4,1,1,3,7
116,27.103,8,4,0,3,12
117,18.531999999999993,3,3,0,3,12
118,2.8180000000000005,5,1,1,3,8
119,-5.21,2,0,1,1,3
