episode,reward,epsilon
0,-8.434,0.995
1,-6.236,0.990025
2,-6.582000000000001,0.985074875
3,-11.962,0.9801495006250001
4,-7.61,0.9752487531218751
5,-0.7519999999999989,0.9703725093562657
6,15.070000000000004,0.9655206468094844
7,-4.589999999999999,0.960693043575437
8,-3.8099999999999987,0.9558895783575597
9,-5.278,0.9511101304657719
10,6.069999999999999,0.946354579813443
11,-6.606,0.9416228069143757
12,-2.176,0.9369146928798039
13,-0.9859999999999989,0.9322301194154049
14,-7.546,0.9275689688183278
15,3.8660000000000014,0.9229311239742362
16,-7.36,0.918316468354365
17,-2.3359999999999985,0.9137248860125932
18,-7.593999999999999,0.9091562615825302
19,-6.836,0.9046104802746175
20,16.47,0.9000874278732445
21,-2.176,0.8955869907338783
22,-1.362,0.8911090557802088
23,-6.574,0.8866535105013078
24,-7.4559999999999995,0.8822202429488013
25,-6.708,0.8778091417340573
26,-8.426,0.8734200960253871
27,6.498000000000003,0.8690529955452602
28,-0.11599999999999833,0.8647077305675338
29,-1.7400000000000002,0.8603841919146962
30,0.002000000000000113,0.8560822709551227
31,-9.008,0.851801859600347
32,-0.23599999999999666,0.8475428503023453
33,-6.582000000000001,0.8433051360508336
34,23.292,0.8390886103705794
35,9.192000000000004,0.8348931673187264
36,-7.013999999999998,0.8307187014821328
37,7.516,0.8265651079747222
38,-6.308,0.8224322824348486
39,7.788000000000004,0.8183201210226743
40,-7.384,0.8142285204175609
41,-7.9559999999999995,0.810157377815473
42,-1.8920000000000003,0.8061065909263957
43,-7.9559999999999995,0.8020760579717637
44,18.871999999999996,0.798065677681905
45,-9.134,0.7940753492934954
46,5.052,0.7901049725470279
47,7.099999999999999,0.7861544476842928
48,-2.146000000000001,0.7822236754458713
49,-3.943999999999999,0.778312557068642
50,0.21799999999999908,0.7744209942832988
51,-9.902,0.7705488893118823
52,-7.9559999999999995,0.7666961448653229
53,-10.155999999999999,0.7628626641409962
54,8.160000000000004,0.7590483508202912
55,9.326000000000002,0.7552531090661897
56,-0.7140000000000004,0.7514768435208588
57,-4.927999999999999,0.7477194593032545
58,-6.106,0.7439808620067382
59,-1.8920000000000003,0.7402609576967045
60,-5.942,0.736559652908221
61,-9.008,0.7328768546436799
62,-1.2020000000000008,0.7292124703704616
63,6.182,0.7255664080186093
64,0.18599999999999905,0.7219385759785162
65,14.326000000000002,0.7183288830986236
66,-2.3359999999999985,0.7147372386831305
