episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,4.515999999999998,5,3,1,0,5
1,-1.6380000000000008,2,1,1,0,2
2,-5.252000000000001,1,0,1,0,1
3,-14.41,11,0,0,1,12
4,-6.326,2,0,1,0,2
5,0.8299999999999992,4,2,1,0,4
6,18.808,8,6,1,3,11
7,3.2980000000000005,6,3,1,0,6
8,-5.148,5,1,1,0,5
9,-8.69,4,0,1,0,4
10,1.1179999999999994,4,2,1,0,4
11,-5.252000000000001,1,0,1,0,1
12,-2.6400000000000006,3,1,1,0,3
13,-2.7840000000000003,3,1,1,0,3
14,-1.6380000000000008,2,1,1,0,2
15,9.852,5,4,1,1,6
16,-2.6400000000000006,3,1,1,0,3
17,-2.7840000000000003,3,1,1,0,3
18,16.872,9,6,1,3,12
19,-5.619999999999998,9,2,1,0,9
20,6.837000000000001,8,4,1,2,10
21,-2.6400000000000006,3,1,1,0,3
22,0.8299999999999992,4,2,1,0,4
23,5.733999999999999,4,3,1,0,4
24,-7.4719999999999995,3,0,1,0,3
25,9.424,6,4,1,1,7
26,-2.679999999999999,7,2,1,0,7
27,1.7260000000000013,8,3,1,1,9
28,-2.6400000000000006,3,1,1,0,3
29,-0.02800000000000047,5,2,1,0,5
30,2.9059999999999997,2,2,1,0,2
31,-6.326,2,0,1,0,2
32,-7.799999999999999,7,1,1,0,7
33,-5.252000000000001,1,0,1,0,1
34,3.298000000000001,6,3,1,0,6
35,2.047999999999999,3,2,1,0,3
36,-3.7539999999999987,8,2,1,0,8
37,4.8039999999999985,5,3,1,0,5
38,-6.326,2,0,1,0,2
39,13.041999999999998,8,5,1,2,10
40,0.7310000000000016,9,3,1,1,10
41,-6.326,2,0,1,0,2
42,-0.02800000000000047,5,2,1,0,5
43,-5.252000000000001,1,0,1,0,1
44,-1.6380000000000008,2,1,1,0,2
45,-7.4719999999999995,3,0,1,0,3
46,-5.252000000000001,1,0,1,0,1
47,0.8299999999999992,4,2,1,0,4
48,-1.533999999999999,6,2,1,0,6
49,-7.799999999999999,7,1,1,0,7
50,-1.6380000000000008,2,1,1,0,2
51,-1.8219999999999992,6,2,1,0,6
52,-1.3899999999999988,6,2,1,0,6
53,-7.4719999999999995,3,0,1,0,3
54,1.8640000000000008,7,3,1,0,7
55,12.034,6,4,1,1,7
56,2.047999999999999,3,2,1,0,3
57,-3.2559999999999993,7,2,1,0,7
58,-4.001999999999999,4,1,1,0,4
59,-3.440999999999998,11,2,0,1,12
60,-5.252000000000001,1,0,1,0,1
61,-6.326,2,0,1,0,2
62,-7.4719999999999995,3,0,1,0,3
63,3.698000000000001,10,3,0,2,12
64,-1.6380000000000008,2,1,1,0,2
65,6.952000000000002,8,4,1,1,9
66,-2.7840000000000003,3,1,1,0,3
67,-11.341999999999999,6,0,1,0,6
68,-5.004,5,1,1,0,5
69,-5.252000000000001,1,0,1,0,1
70,5.662,4,3,1,0,4
71,2.047999999999999,3,2,1,0,3
72,-1.6380000000000008,2,1,1,0,2
73,-0.7479999999999993,5,2,1,0,5
74,12.434,9,5,1,3,12
75,9.214,7,4,1,2,9
76,-6.51,6,1,1,0,6
77,5.8580000000000005,7,3,1,1,8
78,-1.6380000000000008,2,1,1,0,2
79,-4.8999999999999995,9,2,1,0,9
80,-1.6380000000000008,2,1,1,0,2
81,-1.6380000000000008,2,1,1,0,2
82,-6.8759999999999994,10,2,1,1,11
83,-4.001999999999999,4,1,1,0,4
84,-5.252000000000001,1,0,1,0,1
85,-5.252000000000001,1,0,1,0,1
86,-9.98,5,0,1,0,5
87,-6.326,2,0,1,0,2
88,-6.326,2,0,1,0,2
89,-8.69,4,0,1,0,4
90,-5.252000000000001,1,0,1,0,1
91,5.107000000000001,11,4,0,1,12
92,-0.1720000000000006,5,2,1,0,5
93,10.843000000000002,10,4,0,2,12
94,2.9059999999999997,2,2,1,0,2
95,1.7530000000000014,8,3,1,1,9
96,3.1510000000000007,7,3,1,1,8
97,-2.6400000000000006,3,1,1,0,3
98,8.511999999999999,7,4,1,1,8
99,-2.6400000000000006,3,1,1,0,3
100,21.088,9,6,0,3,12
101,8.314,7,4,1,1,8
102,-6.326,2,0,1,0,2
103,-3.857999999999999,4,1,1,0,4
104,0.8299999999999992,4,2,1,0,4
105,8.778,6,4,1,1,7
106,8.224000000000002,10,4,0,2,12
107,-5.252000000000001,1,0,1,0,1
108,-0.708,1,1,1,0,1
109,-7.799999999999999,7,1,1,0,7
110,-5.252000000000001,1,0,1,0,1
111,0.29900000000000126,9,3,1,1,10
112,-4.001999999999999,4,1,1,0,4
113,4.515999999999998,5,3,1,0,5
114,-5.252000000000001,1,0,1,0,1
115,1.7200000000000006,7,3,1,0,7
116,12.732000000000003,9,4,1,3,12
117,-2.7840000000000003,3,1,1,0,3
118,22.204,5,5,1,3,8
119,-2.6400000000000006,3,1,1,0,3
