episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-4.719999999999999,2,0,1,3,5
1,-3.463,0,0,1,2,2
2,-3.941,0,0,1,1,1
3,-9.782,10,0,0,2,12
4,-3.463,0,0,1,2,2
5,-2.629999999999999,1,0,1,3,4
6,17.172000000000004,5,3,0,3,12
7,-4.193999999999999,3,0,1,3,6
8,2.8160000000000007,2,1,1,3,5
9,16.301000000000002,7,3,0,3,12
10,-5.002,2,0,1,2,4
11,-3.968,0,0,1,1,1
12,-3.1,0,0,1,3,3
13,-3.4779999999999998,0,0,1,3,3
14,-3.355,0,0,1,2,2
15,2.000000000000001,3,1,1,3,6
16,-3.977,1,0,1,2,3
17,-4.111999999999999,1,0,1,2,3
18,-3.4359999999999995,0,0,1,2,2
19,0.7010000000000005,6,1,1,3,9
20,18.028999999999996,4,3,0,3,12
21,-3.0269999999999997,2,0,1,3,5
22,2.268,3,1,1,3,6
23,-3.1639999999999997,0,0,1,1,1
24,-3.2279999999999998,0,0,1,3,3
25,-3.5439999999999996,0,0,1,2,2
26,1.596,4,1,1,3,7
27,-1.7119999999999989,6,1,1,3,9
28,16.734999999999996,4,3,0,3,12
29,-3.968,0,0,1,1,1
30,-3.5439999999999996,0,0,1,2,2
31,2.386,2,1,1,3,5
32,-6.465999999999999,4,0,1,3,7
33,-3.463,0,0,1,2,2
34,9.153000000000002,3,2,1,3,6
35,-0.1399999999999979,5,1,1,3,8
36,-8.876999999999999,6,0,1,2,8
37,-3.4359999999999995,0,0,1,2,2
38,-3.5439999999999996,0,0,1,2,2
39,-7.571999999999999,5,0,1,3,8
40,-3.3159999999999994,0,0,1,3,3
41,-3.463,0,0,1,2,2
42,-4.827999999999999,2,0,1,3,5
43,-3.941,0,0,1,1,1
44,-3.5439999999999996,0,0,1,2,2
45,-3.0659999999999994,0,0,1,3,3
46,-3.941,0,0,1,1,1
47,3.420000000000001,1,1,1,3,4
48,1.865000000000001,3,1,1,3,6
49,0.9480000000000013,4,1,1,3,7
50,-3.355,0,0,1,2,2
51,1.1720000000000004,3,1,1,3,6
52,-3.579999999999999,1,0,1,3,4
53,13.204000000000002,3,2,0,3,12
54,7.606000000000001,4,2,1,3,7
55,2.3480000000000016,4,1,1,3,7
56,-2.85,0,0,1,3,3
57,23.128,6,4,0,3,12
58,-4.154,1,0,1,3,4
59,15.330999999999998,8,3,0,3,12
60,0.3569999999999993,7,1,1,3,11
61,-3.3159999999999994,0,0,1,3,3
62,-3.3159999999999994,0,0,1,3,3
63,-2.0279999999999996,0,0,1,3,3
64,-3.463,0,0,1,2,2
65,18.001999999999992,3,3,0,3,12
66,-3.0119999999999996,0,0,1,3,3
67,-4.813,2,0,1,2,4
68,-4.827999999999999,2,0,1,3,5
69,16.877000000000002,7,3,0,3,12
70,-3.932,0,0,1,1,1
71,-3.9050000000000002,0,0,1,1,1
72,-3.4359999999999995,0,0,1,2,2
73,2.7280000000000006,2,1,1,3,5
74,-3.932,0,0,1,1,1
75,-3.4359999999999995,0,0,1,2,2
76,6.125000000000002,1,1,0,3,12
77,13.303,3,2,0,3,12
78,-2.533,0,0,1,2,2
79,-8.102,6,0,1,3,9
80,-3.5439999999999996,0,0,1,2,2
81,-3.4359999999999995,0,0,1,2,2
82,12.906,7,3,1,3,10
83,-2.5149999999999997,1,0,1,3,4
84,-3.9050000000000002,0,0,1,1,1
85,-3.941,0,0,1,1,1
86,-4.577999999999999,2,0,1,3,5
87,5.235,7,2,1,3,10
88,-3.463,0,0,1,2,2
89,-2.3169999999999997,1,0,1,3,4
90,-3.968,0,0,1,1,1
91,14.359000000000002,9,3,0,3,12
92,2.8160000000000007,2,1,1,3,5
93,12.409000000000002,3,2,0,3,12
94,-3.968,0,0,1,1,1
95,-1.064000000000001,6,1,1,3,9
96,-0.5789999999999988,5,1,1,3,8
97,-3.1,0,0,1,3,3
98,7.659000000000002,5,2,1,3,8
99,-1.9289999999999998,0,0,1,3,3
100,-3.932,0,0,1,1,1
101,7.254000000000001,5,2,1,3,8
102,-3.355,0,0,1,2,2
103,0.9480000000000013,4,1,1,3,7
104,-0.07599999999999962,4,1,1,3,7
105,17.388,4,3,0,3,12
106,-7.571999999999999,5,0,1,3,8
107,-3.9050000000000002,0,0,1,1,1
108,-3.941,0,0,1,1,1
109,0.9480000000000013,4,1,1,3,7
110,-3.977,1,0,1,2,3
111,-3.0659999999999994,0,0,1,3,3
112,-3.9079999999999995,3,0,1,3,6
113,-4.469999999999999,2,0,1,3,5
114,-3.968,0,0,1,1,1
115,8.542000000000002,4,2,1,3,7
116,12.082999999999997,4,2,0,3,12
117,17.493999999999993,3,3,0,3,12
118,11.808000000000003,3,2,0,3,12
119,-4.111999999999999,1,0,1,2,3
