episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-6.612,0,0,1,2,2
1,7.730000000000002,6,3,1,3,9
2,-7.246,1,0,1,3,4
3,-6.550000000000001,0,0,1,1,1
4,-6.582000000000001,0,0,1,1,1
5,-9.202,2,0,1,3,5
6,-6.636,0,0,1,2,2
7,-6.236,0,0,1,2,2
8,-6.373999999999999,1,0,1,3,4
9,-6.606,0,0,1,1,1
10,15.834000000000003,9,4,0,3,12
11,-9.49,2,0,1,3,5
12,27.565999999999995,9,5,0,3,12
13,-6.606,0,0,1,1,1
14,-8.246000000000002,6,1,1,3,9
15,-6.801999999999999,5,1,1,3,8
16,-6.170000000000001,0,0,1,3,3
17,1.4979999999999993,5,2,1,3,8
18,-5.385999999999999,0,0,1,3,3
19,-6.574,0,0,1,1,1
20,2.702,4,2,1,3,7
21,-6.140000000000001,0,0,1,2,2
22,-4.686000000000001,4,1,1,3,7
23,-7.75,1,0,1,3,4
24,42.438,9,7,0,3,12
25,8.278,9,3,0,3,12
26,-6.550000000000001,0,0,1,1,1
27,-6.582000000000001,0,0,1,1,1
28,-4.686000000000001,4,1,1,3,7
29,-6.582000000000001,0,0,1,1,1
30,-6.362,0,0,1,3,3
31,-7.246,1,0,1,3,4
32,-1.2859999999999996,2,1,1,3,5
33,-6.606,0,0,1,1,1
34,11.258000000000001,4,3,1,3,7
35,12.426,9,4,1,3,12
36,7.49,6,3,1,3,9
37,26.701999999999995,5,5,1,3,8
38,-6.506,0,0,1,3,3
39,-6.582000000000001,0,0,1,1,1
40,-6.540000000000001,0,0,1,2,2
41,-6.582000000000001,0,0,1,1,1
42,-10.966,3,0,1,3,6
43,-6.708,0,0,1,2,2
44,-6.606,0,0,1,1,1
45,-6.140000000000001,0,0,1,2,2
46,-3.5060000000000002,3,1,1,3,6
47,-5.2780000000000005,4,1,1,3,7
48,-6.606,0,0,1,1,1
49,-6.550000000000001,0,0,1,1,1
50,-6.606,0,0,1,1,1
51,-0.9980000000000011,2,1,1,3,5
52,-6.362,0,0,1,3,3
53,-6.612,0,0,1,2,2
54,-0.23399999999999999,6,2,1,3,9
55,-6.236,0,0,1,2,2
56,-7.75,1,0,1,3,4
57,11.258000000000001,4,3,1,3,7
58,-16.226,6,0,1,3,9
59,-6.606,0,0,1,1,1
60,-7.75,1,0,1,3,4
61,-6.550000000000001,0,0,1,1,1
62,5.313999999999998,3,2,1,3,6
63,17.458000000000006,9,4,0,3,12
64,-6.582000000000001,0,0,1,1,1
65,-6.550000000000001,0,0,1,1,1
66,-6.540000000000001,0,0,1,2,2
67,-6.540000000000001,0,0,1,2,2
68,-6.314,0,0,1,3,3
69,-6.506,0,0,1,3,3
70,-6.236,0,0,1,2,2
71,-6.506,0,0,1,3,3
72,-5.942,0,0,1,1,1
73,-8.818000000000001,2,0,1,3,5
74,8.653999999999998,5,3,1,3,8
75,-6.170000000000001,0,0,1,3,3
76,-6.170000000000001,0,0,1,3,3
77,-6.314,0,0,1,3,3
78,33.169999999999995,9,6,0,3,12
79,-1.2859999999999996,2,1,1,3,5
80,-5.474,0,0,1,3,3
81,-7.534000000000001,1,0,1,3,4
82,-6.636,0,0,1,2,2
83,-7.534000000000001,1,0,1,3,4
84,33.178,9,6,0,3,12
85,-6.506,0,0,1,3,3
86,-7.534000000000001,1,0,1,3,4
87,-0.12599999999999945,2,1,1,3,5
88,-5.41,0,0,1,3,3
89,-9.106,2,0,1,3,5
90,7.298,6,3,1,3,9
91,-6.574,0,0,1,1,1
92,-6.708,0,0,1,2,2
93,-6.586,5,1,1,3,8
94,-9.202,2,0,1,3,5
95,-9.202,2,0,1,3,5
96,11.258000000000001,4,3,1,3,7
97,-6.708,0,0,1,2,2
98,-0.9980000000000011,2,1,1,3,5
99,21.302,9,5,1,3,12
100,-2.506000000000001,3,1,1,3,6
101,-6.308,0,0,1,2,2
102,-7.75,1,0,1,3,4
103,-3.346,3,1,1,3,6
104,-6.170000000000001,0,0,1,3,3
105,-7.534000000000001,1,0,1,3,4
106,-6.362,0,0,1,3,3
107,-6.582000000000001,0,0,1,1,1
108,-5.41,0,0,1,3,3
109,-1.3820000000000006,2,1,1,3,5
110,-6.574,0,0,1,1,1
111,-6.130000000000002,5,1,1,3,8
112,-6.636,0,0,1,2,2
113,-0.9820000000000002,2,1,1,3,5
114,-6.708,0,0,1,2,2
115,-14.725999999999999,5,0,1,3,8
116,-6.606,0,0,1,1,1
117,-6.308,0,0,1,2,2
118,-0.5980000000000008,2,1,1,3,5
119,-6.582000000000001,0,0,1,1,1
