episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-1.588,2,1,1,0,2
1,-5.98,9,2,1,0,9
2,-4.779999999999999,4,1,1,0,4
3,-7.9559999999999995,1,0,1,0,1
4,-7.9559999999999995,1,0,1,0,1
5,-10.956,3,0,1,0,3
6,-9.408,2,0,1,0,2
7,-9.408,2,0,1,0,2
8,-12.6,4,0,1,0,4
9,-7.9559999999999995,1,0,1,0,1
10,-10.956,3,0,1,0,3
11,1.7800000000000011,5,2,1,0,5
12,-9.408,2,0,1,0,2
13,6.072,2,2,1,0,2
14,3.2799999999999994,9,3,1,0,9
15,5.244,8,3,1,0,8
16,-2.976,3,1,1,0,3
17,13.544000000000002,8,4,1,0,8
18,-2.976,3,1,1,0,3
19,-0.29599999999999993,1,1,1,0,1
20,14.771999999999997,7,4,1,0,7
21,-9.408,2,0,1,0,2
22,-4.619999999999999,4,1,1,0,4
23,3.200000000000001,4,2,1,0,4
24,45.792,12,8,0,0,12
25,11.792,12,4,0,0,12
26,-7.9559999999999995,1,0,1,0,1
27,-0.29599999999999993,1,1,1,0,1
28,-9.408,2,0,1,0,2
29,-7.9559999999999995,1,0,1,0,1
30,5.991999999999999,7,3,1,0,7
31,-4.779999999999999,4,1,1,0,4
32,9.6,5,3,1,0,5
33,-7.9559999999999995,1,0,1,0,1
34,-7.9559999999999995,1,0,1,0,1
35,13.412,12,5,1,0,12
36,-3.1359999999999992,3,1,1,0,3
37,44.471999999999994,8,8,1,0,8
38,-2.976,3,1,1,0,3
39,-1.588,2,1,1,0,2
40,-1.588,2,1,1,0,2
41,17.675999999999995,5,4,1,0,5
42,-16.176000000000002,6,0,1,0,6
43,7.112000000000002,7,3,1,0,7
44,-7.9559999999999995,1,0,1,0,1
45,28.552,12,6,0,0,12
46,-0.2159999999999993,6,2,1,0,6
47,-10.128,7,1,1,0,7
48,-7.9559999999999995,1,0,1,0,1
49,-7.9559999999999995,1,0,1,0,1
50,-0.29599999999999993,1,1,1,0,1
51,-6.52,5,1,1,0,5
52,4.843999999999999,3,2,1,0,3
53,21.363999999999997,8,5,1,0,8
54,3.119999999999999,9,3,1,0,9
55,-1.7479999999999998,2,1,1,0,2
56,-12.6,4,0,1,0,4
57,-4.779999999999999,4,1,1,0,4
58,-10.956,3,0,1,0,3
59,-1.588,2,1,1,0,2
60,-4.46,4,1,1,0,4
61,-7.9559999999999995,1,0,1,0,1
62,16.223999999999997,6,4,1,0,6
63,29.832,12,6,0,0,12
64,-1.588,2,1,1,0,2
65,-3.2159999999999993,8,2,1,0,8
66,2.0999999999999996,5,2,1,0,5
67,-1.588,2,1,1,0,2
68,-3.1359999999999992,3,1,1,0,3
69,4.524000000000001,3,2,1,0,3
70,-9.408,2,0,1,0,2
71,-2.976,3,1,1,0,3
72,-7.9559999999999995,1,0,1,0,1
73,2.0999999999999996,5,2,1,0,5
74,29.247999999999998,8,6,1,0,8
75,4.843999999999999,3,2,1,0,3
76,11.275999999999998,4,3,1,0,4
77,12.472,3,3,1,0,3
78,26.472,12,6,0,0,12
79,1.6199999999999992,5,2,1,0,5
80,-9.408,2,0,1,0,2
81,-4.46,4,1,1,0,4
82,-1.588,2,1,1,0,2
83,-9.408,2,0,1,0,2
84,36.69199999999999,12,7,0,0,12
85,11.26,9,4,1,0,9
86,-7.9559999999999995,1,0,1,0,1
87,-6.52,5,1,1,0,5
88,4.843999999999999,3,2,1,0,3
89,-6.199999999999999,5,1,1,0,5
90,27.795999999999992,9,6,1,0,9
91,4.843999999999999,3,2,1,0,3
92,6.072,2,2,1,0,2
93,5.2440000000000015,8,3,1,0,8
94,-6.359999999999999,5,1,1,0,5
95,-6.04,5,1,1,0,5
96,-1.588,2,1,1,0,2
97,-9.408,2,0,1,0,2
98,9.92,5,3,1,0,5
99,4.4719999999999995,12,4,1,0,12
100,-8.196,6,1,1,0,6
101,-9.408,2,0,1,0,2
102,-9.408,2,0,1,0,2
103,-7.716,6,1,1,0,6
104,0.2640000000000011,6,2,1,0,6
105,-4.619999999999999,4,1,1,0,4
106,-10.956,3,0,1,0,3
107,-7.9559999999999995,1,0,1,0,1
108,21.203999999999994,8,5,1,0,8
109,1.459999999999999,5,2,1,0,5
110,9.983999999999996,5,3,1,0,5
111,-2.976,3,1,1,0,3
112,-9.408,2,0,1,0,2
113,1.6199999999999992,5,2,1,0,5
114,6.072,2,2,1,0,2
115,-19.976,8,0,1,0,8
116,-0.29599999999999993,1,1,1,0,1
117,-9.408,2,0,1,0,2
118,-7.9559999999999995,1,0,1,0,1
119,-7.9559999999999995,1,0,1,0,1
