episode,cumulative_reward,recommendations,acceptances,abandoned,questions_asked,session_length
0,-11.748,3,0,1,2,5
1,8.972000000000001,2,2,1,0,2
2,-9.456,1,0,1,0,1
3,-19.802,6,0,1,3,11
4,-9.334,1,0,1,1,2
5,-9.258,1,0,1,3,4
6,19.766000000000005,5,3,0,3,12
7,-12.241999999999999,3,0,1,3,6
8,-0.33999999999999786,2,1,0,3,12
9,-10.456000000000001,2,0,1,2,4
10,8.370000000000001,3,2,1,1,4
11,-9.456,1,0,1,0,1
12,-1.6759999999999984,3,1,1,0,3
13,-10.506,2,0,1,1,3
14,-0.6879999999999988,2,1,1,0,2
15,-9.542,1,0,0,3,12
16,-1.6759999999999984,3,1,1,0,3
17,-9.356,1,0,1,2,3
18,-9.456,1,0,1,0,1
19,-9.496,2,0,0,3,12
20,20.944,4,3,0,3,12
21,-1.6759999999999984,3,1,1,0,3
22,-9.283999999999999,1,0,1,2,3
23,0.20400000000000007,1,1,1,0,1
24,-9.356,1,0,1,2,3
25,21.177999999999997,3,3,0,3,12
26,-8.822,1,0,0,3,12
27,-9.998,6,1,1,3,11
28,26.166000000000004,5,4,1,3,8
29,5.640000000000002,5,2,1,0,5
30,8.972000000000001,2,2,1,0,2
31,-1.209999999999999,2,1,1,3,5
32,-16.258,4,0,1,3,9
33,-9.456,1,0,1,0,1
34,-9.781999999999998,1,0,0,3,12
35,26.166000000000004,5,4,1,3,8
36,-15.553999999999998,4,0,1,3,9
37,-9.325999999999999,1,0,1,1,2
38,-9.357999999999999,1,0,1,1,2
39,12.812,6,3,1,3,10
40,-9.283999999999999,1,0,1,2,3
41,-9.456,1,0,1,0,1
42,17.034000000000002,4,3,1,1,5
43,-9.456,1,0,1,0,1
44,-0.6879999999999988,2,1,1,0,2
45,19.884,6,3,0,3,12
46,18.682000000000002,3,3,1,3,6
47,-9.45,1,0,1,3,4
48,-14.182,3,0,1,3,8
49,-9.456,1,0,1,0,1
50,-0.6879999999999988,2,1,1,0,2
51,-2.0859999999999985,3,1,1,3,6
52,-9.456,1,0,1,0,1
53,11.478000000000002,3,2,0,3,12
54,-0.33999999999999786,2,1,0,3,12
55,-2.7579999999999973,4,1,1,1,5
56,9.350000000000001,2,2,1,1,3
57,8.420000000000002,4,2,0,3,12
58,-0.7799999999999985,2,1,1,2,4
59,5.640000000000002,5,2,1,0,5
60,-9.456,1,0,1,0,1
61,-9.456,1,0,1,0,1
62,-9.283999999999999,1,0,1,2,3
63,-9.187999999999999,1,0,1,2,3
64,-0.6879999999999988,2,1,1,0,2
65,-10.341999999999999,1,0,0,3,12
66,-9.26,1,0,1,2,3
67,-12.338,3,0,1,3,6
68,10.158000000000001,3,2,0,3,12
69,-9.456,1,0,1,0,1
70,18.094,3,3,1,1,4
71,9.350000000000001,2,2,1,1,3
72,-9.325999999999999,1,0,1,1,2
73,-0.9139999999999995,2,1,1,3,5
74,-9.456,1,0,1,0,1
75,-9.325999999999999,1,0,1,1,2
76,-11.954,3,0,1,3,6
77,5.970000000000002,5,2,1,1,6
78,-9.302,1,0,1,1,2
79,-10.362,3,0,0,3,12
80,-0.6879999999999988,2,1,1,0,2
81,-0.6879999999999988,2,1,1,0,2
82,8.740000000000002,4,2,0,3,12
83,-10.334,2,0,1,3,5
84,-9.456,1,0,1,0,1
85,-9.456,1,0,1,0,1
86,-10.574,2,0,1,3,5
87,-9.334,1,0,1,1,2
88,-9.334,1,0,1,1,2
89,-9.114,1,0,1,3,4
90,-9.456,1,0,1,0,1
91,8.418,5,2,0,3,12
92,19.28,4,3,0,3,12
93,30.023999999999997,6,4,0,3,12
94,8.972000000000001,2,2,1,0,2
95,12.271999999999998,2,2,0,3,12
96,21.906000000000006,3,3,0,3,12
97,-1.6759999999999984,3,1,1,0,3
98,9.592000000000002,2,2,1,2,4
99,-1.6759999999999984,3,1,1,0,3
100,0.20400000000000007,1,1,1,0,1
101,5.454000000000004,5,2,1,3,8
102,-9.302,1,0,1,1,2
103,-9.306,1,0,1,3,4
104,-0.33999999999999786,2,1,0,3,12
105,-9.542,1,0,0,3,12
106,9.530000000000003,5,2,0,3,12
107,-9.456,1,0,1,0,1
108,0.20400000000000007,1,1,1,0,1
109,-10.841999999999999,3,0,0,3,12
110,-9.456,1,0,1,0,1
111,-9.283999999999999,1,0,1,2,3
112,-11.954,3,0,1,3,6
113,-9.456,1,0,1,0,1
114,-9.456,1,0,1,0,1
115,-9.456,1,0,1,0,1
116,0.2500000000000009,3,1,0,3,12
117,-9.45,1,0,1,3,4
118,15.786000000000003,5,3,1,3,8
119,-1.6759999999999984,3,1,1,0,3
